path,name,kind,written_in,screen,language,encoding,runs,run_note,description,source,disks,sha256
kits/common/diag/CCMP.SAV,CCMP.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures CMP in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,77aa3d972f8a59f07fc04fd3c27b1ebfcd82882070f4d307f4e595a3ee83aa9a
kits/common/diag/CCMPB.SAV,CCMPB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures CMPB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,b18b1b3ff9ebfe892dc37fc071a9831c5eca6b02c944be6e0297d7037229891b
kits/common/diag/CJMP.SAV,CJMP.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures JMP in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,2b5d91324f542c464112e8e01ac508940399842af069cfaa2541e7998bfed763
kits/common/diag/CMOV.SAV,CMOV.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),"Instruction timing meter: measures MOV in CPU cycles for every addressing-mode pair and prints the matrix, using the 50 Hz vector-100 interrupt as the timebase (word 1002 holds the calibration).  One of the C* suite; needs the instruction emulator resident (SET EM ON or R GETEML).  Alex_K ran it on real hardware: 7.5 MHz",program screen + forum,1,7e5894e423c71935bd030bf171d505050dd62eb593780703a3c802e921cf2979
kits/common/diag/CMOVB.SAV,CMOVB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures MOVB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,7ac375c0a819e0eafd89632a0403ec9286d5bbf096e3bca2287b7f4419adb260
kits/common/diag/COP1.SAV,COP1.SAV,program,assembler (no runtime library),text,en,ascii,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures single-operand ops in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,248320dd3094da59d3004b0d4dc0e1504dfff38613826093c05dcb5aa2404b49
kits/common/diag/COP2P0.SAV,COP2P0.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures two-operand ops (part 0) in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,fb844ce2e101405fa24285fcfeb4b8273a1e67922461d99243719027f35883e6
kits/common/diag/COP2P1.SAV,COP2P1.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures two-operand ops (part 1) in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,abc7103ff536cf755a95f3395dc8e1fbafe4d0b6c55b7b361a81a65aed4c537b
kits/common/diag/COP2P2.SAV,COP2P2.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures two-operand ops (part 2) in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,41f4b2b03f3358bc8a56d628350e3b2c53a41c41cd4edaa991d805e9313b4411
kits/common/diag/COP2PC.SAV,COP2PC.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures PC-addressing ops in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,1de8fffa9acc29341f2439b58413f5f8596e4c80d8185c3273557fffe292947d
kits/common/diag/CPRF.SAV,CPRF.SAV,program,assembler (no runtime library),text,en,ascii,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures performance summary in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,0a5c750bc8ec5d6473a15b5f632a614df729cf0f154613ec2560663e11b781f0
kits/common/diag/CRDWR.SAV,CRDWR.SAV,program,assembler (no runtime library),text,en,ascii,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures memory read/write in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,6c47b746d8ef4e39ab2e9357f36a3e576e0965e3a7d9d5633a4eaa852cd176d1
kits/common/diag/CRDWR1.SAV,CRDWR1.SAV,program,assembler (no runtime library),text,en,ascii,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures memory read/write (part 1) in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,5a347c3b618ff6f8d766e76e0a65eb39412479fd113b5f8595ca604fb8c48f41
kits/common/diag/CSOB.SAV,CSOB.SAV,program,assembler (no runtime library),text,,,ran,needs the instruction emulator (SET EM ON),One of the C* instruction-timing suite: measures SOB in CPU cycles per addressing mode against the 50 Hz timer; needs the instruction emulator resident (SET EM ON or R GETEML),program screen + forum,1,525973b6600a665b5ce4ea0bebb96cd90b2f7e782c8d5043bf701bd8e317e8aa
kits/common/diag/GETEML.SAV,GETEML.SAV,program,assembler (no runtime library),text,,,exited 7/8,,"Loadable instruction-set emulator: hooks the reserved-instruction vector (10), relocates to 154000 and emulates the EIS/FIS instructions the KR1807VM1 lacks (FADD/FSUB/FMUL/FDIV confirmed by disassembly; CMOV.SAV's MUL/DIV work under it too).  Resident: prints nothing.  The driver form is EM.SYS (SET EM ON)",disassembly + experiment,5,1491920f35888c202aa5362d96aee675d5b7b45aae223ba25eaba874960e3577
kits/common/diag/SCN15I.SAV,SCN15I.SAV,program,assembler (no runtime library),text,,,ran,,"Prints its title ""Scan-code of keys (interrupt), Alphaprog"" and waits for keys - a keyboard scan-code viewer",program screen,1,712a6fcb45067f395d68fdd6b3fa2e162f04ebdb7ff22de1f3403c6690f6f9c0
kits/common/print/6337.SAV,6337.SAV,program,high-level (runtime library linked),,en,ascii,ran,,"Print utility for the МС 6337 dot-matrix printer (hence the numeric name): 'file?' asks for a text file to load, then a menu - load / print / select type (fonts long, dubble, fat, small, step 2.117) / one-side / high quality. On every rebuilt volume it dies before loading: its file-open path uses old-format EMTs (.FETCH at 011144, .LOOKUP at 011264) and fails differently per directory format ('NOT A VALID DEVICE' on a 1-segment volume, '?MON-F-Invalid directory' on 4-segment) - it apparently expects its native System3/disk4 environment. The cross verdict 'ran' only means the prompt came up",menu strings + disassembly of the failing requests + feed experiments 2026-09-05; shipped as .SAV: the .EXE name is the collector's later renaming on disk4,1,95292998bc4e2732d3b40e473685d163658b6566e005a44933b60652b42da9fe
kits/common/print/OUT17.DOC,OUT17.DOC,text,,,ru,koi8-r,,,"«Утилита OUT17 предназначена для вывода текстовых файлов на струйный принтер МС6317, подключенный к параллельному порту МС0515» - its short manual, ending with Домнич's contact line",read 2026-09-05,1,205f41f630d9f7e0d38f699cbc502006c9641fa49cc8fa20cf6181c28f9f5cae
kits/common/print/OUT17.SAV,OUT17.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,prompt; answers ?CSI-F-Файлненайден*,Prints text files on an MS6317 ink-jet printer attached to the parallel port of the MS 0515,RTK MIKRO manuals (disk5),1,2c85151dce6b70356487ef01f1b1b6b5633d0933c79a533337377dbf3d440eb7
kits/common/print/OUT2.SAV,OUT2.SAV,program,assembler (no runtime library),,,,ran,,One of the OUT family with OUT17 and OUTC,program screen,4,ab17fa0a5f17c6f96710c621fe36eb9fff1fdc34dc4990a0ba2a9a6268802d96
kits/common/print/OUTC.DOC,OUTC.DOC,text,,,ru,koi8-r,,,"«Утилита OUTC предназначена для вывода текстовых файлов на принтер СМ6337, подключенный к параллельному порту МС0515» - its short manual",read 2026-09-05,1,fdc0846e8e628f5c445ac07fa25968997002b93b9f8b131c4027abd3bf767dd5
kits/common/print/OUTC.SAV,OUTC.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,prompt; answers ?CSI-F-Файлненайден*,Prints text files on an SM6337 printer attached to the parallel port of the MS 0515,RTK MIKRO manuals (disk5),1,21305756bd968cab5bffa55957231c2281d780e7181e8e11eb96bac191390fad
kits/common/shells/SCE.HLP,SCE.HLP,text,,,ru,koi8-r,,,"The help text of the SCE shell, «сделан Гостевым Дмитрием (Школа профессионального самоопределения, г. Воронеж), Copyright 12.24.1993»: the key list B-bad blocks, C-copy, D-delete, E-edit, G-run, H-help, K-create/undelete, L-dismount, M-logical disks, U-boot, W-bootstrap…",read 2026-09-06,4,dcc37aa51ad90fc6aaf3e5bd4f9b5bdcbe90bb460de88a17efa12f1051fc6826
kits/common/shells/SCE.SAV,SCE.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,"Two-panel file manager in the Norton Commander style, Russian labels: directory panel with an info panel, command line Copy/Type/Prot/uNprot/Ren/Del/Quit/Vol/Go/Sque/Z-ini",program screen,7,e0dada00133afce6fdb8ff3f0b68753c829985ae74d4895e192d806bb97ff2cc
kits/common/utils/ASC.SAV,ASC.SAV,program,high-level (runtime library linked),,en,ascii,ran,,"Interactive character-code lookup: press any key and it prints the ASCII code (A -> 65, 7 -> 55; the console upcases letters first). A pocket reference vvv kept on every one of his disks - indispensable in a KOI-7/KOI-8/CP866 world",live run 2026-09-05: keys answered with their codes,5,0579bc9f81f4bb9a7aabe2ba4955b4015c6709b752526a7892bc951f50b61e9a
kits/common/utils/BADS.SAV,BADS.SAV,program,assembler (no runtime library),text,en,ascii,ran,"bare prompt, no answer to a bogus file name","Bad-block scanner (RT-11 BAD-style): at its '*' prompt give a device ('DZ0:'), it reads every block with a running counter and reports 'N bad blocks detected' / 'Block N is bad.'; switches C,S,E,A,O. Three blocks of assembler - the sibling craft of KBAD13",its own strings + live scan 2026-09-05 ('No bad blocks detected.'),3,4c64cf4995a73a85be54cf9aad10e7a168489e6953e891242ef2bc7f67db6871
kits/common/utils/BLACK.SAV,BLACK.SAV,program,high-level (runtime library linked),,en,ascii,ran,,Blanks the screen to black and returns to the monitor,program screen,8,17c2870dc2aef3c5885d51192cac2454b9073d829d4e78086e0e997c33c41960
kits/common/utils/BLUE.SAV,BLUE.SAV,program,assembler (no runtime library),text,,,ran,"blue screen, yellow text, prompt back","Sets the screen blue with yellow letters and returns to the monitor; the counterpart of BLACK.SAV and WHITE.SAV.  On eight of the nine disks that carry it (osa, System, System3, 059, 062, 063, 066, 172) it is this copy; 065 holds a one-byte variant",program screen 2026-09-13,9,f3261ec2e9dde9996f63e283cf013c30f64b9b619fdacd9fa611af16f30e2855
kits/common/utils/CALEND.SAV,CALEND.SAV,program,Pascal (source on the disks),text,ru+en,koi8-r,ran,,"Calendar generator for the years 1583-5000, to a file or to LP:; A. V. Domnich, 16-06-94",program screen; the source it was built from is in programs/domnich/,1,0997a687c0a7bba95c0001edd46b3dbc5bf4a29967f34ba24183784a06763958
kits/common/utils/DATSET.SAV,DATSET.SAV,program,assembler (no runtime library),text,ru,koi8-r,ran,,Date-setting program of the OSA kit,OSA manual,5,3d748a2cdc42f76ecc6bb9619a6ededc140c3fa624115fb6515b2f7c41470776
kits/common/utils/DAY.SAV,DAY.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"Asks for a date, offering 18-MAR-93 as the default",program screen,1,0a58aa5e5ce0ad9a4a77033607737e39818cac80c2972db4c1ba43f14d9ac554
kits/common/utils/HELP.TXT,HELP.TXT,text,,,ru+en,koi8-r,,,"«Описание команд операционной системы ФОДОС-3» - the command reference HELP.SAV prints, as plain text: ASSIGN, BOOT, COPY… with their syntax",read 2026-09-06,1,bd7f86f0db83bb3ba9af546e01059e4294a8d739dfb38291da1b8b4cd5888db8
kits/common/utils/NEG.SAV,NEG.SAV,program,assembler (no runtime library),text,,,ran 6/8,,"Writes 000010 into System Register C (177604): selects the 640x200 hi-res mode with a black border.  The video-mode counterpart of BLACK, BLUE and WHITE",disassembly,4,77e302e20a249e5998b80219a64756a868c00fc509c4274d9fd4db75c130fe20
kits/common/utils/TFP.SAV,TFP.SAV,program,high-level (runtime library linked),text,ru,koi8-r,ran,"bare prompt, no answer to a bogus file name",Text formatter of the OSA kit; the manual recommends keeping it on the system device,OSA manual,3,b85e3e59cbc6d24a5fc5cee75ea6336e72ef92d6f6154146cbdde6f29fa64266
kits/common/utils/WHITE.SAV,WHITE.SAV,program,assembler (no runtime library),text,,,exited 6/8,,Sets the screen to white and returns to the monitor; the counterpart of BLACK.SAV and BLUE.SAV,program screen,5,e28d9cf189aca05f7959c422779e3fc0d9e4086f6b477ff496c3fac383de5187
kits/mihin/development/LINK.SAV,LINK.SAV,program,assembler (no runtime library),text,en,ascii,ran,,"LINK V08.04, a later RT-11 linker, with its banner patched to read «LINK B03.01» on Mihin's disks; the copy on ОМЕГА 064 keeps the V08.04 banner (21 bytes apart)",DEC RT-11; the Mihin's OS-16SJ kits build,2,84967964c932680462d3ef849bc19f8f4a273abb704cca446b3dba0a42e68754
kits/mihin/development/MACRO.SAV,MACRO.SAV,program,assembler (no runtime library),text,ru+en,koi8-r,ran,,MACRO V05.04 as Mihin's OS-16SJ disks carry it - 12 of its 61 blocks differ from the plain one: Mihin's own patching,DEC RT-11; the Mihin's OS-16SJ kits build,2,19eaf74ec37c00d6b998c6e4d25e1b1fcc4074647fe61c9df07949b19b8f50b9
